V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Q17,tol1,tol2,tol3,tol4,tol5,tol6,tol7,tol8,tol9,lvl1,lvl2,lvl3,lvl4,growth1,growth2,growth3,growth4,fix1,fix2,fix3,fix4,fix5,fix6,fix7,bjw1,bjw2,bjw3,bjw4,bjw5,bjw6,bjw7,bjw8,bjw9,bjw10,bjw11,bjw12,bjw13,bjw14,bjw15,bjw16,bjw17,bjw18,redist1,redist2,redist3,redist4,competent,confident,independent,competitive,intelligent,tolerant,warm,good.natured,sincere,wg1,wg2,wg3,wg4,wg5,emp1,emp2,emp3,emp4,emp5,emp6,pt1,pt2,pt3,gender,age,ethnicity,income,ideology,social.iss,econ.iss,partyID
R_3E4UPGpMJRDjX0x,Default Response Set,Anonymous,,,72.196.7.7,0,21/02/2017 7:52,21/02/2017 7:58,1,1,5,6,6,5,1,1,1,1,6,2,2,4,7,6,4,2,5,2,2,6,4,2,2,6,3,2,2,2,3,3,3,2,3,3,2,4,3,3,2,3,3,3,3,3,3,2,3,2,2,3,3,3,3,3,4,3,4,4,4,5,2,4,4,2,1,1,3,3,3,1,45,mixed,6,4,3,5,2
R_bydqJfxaFB6WXPf,Default Response Set,Anonymous,,,199.227.131.146,0,21/02/2017 7:54,21/02/2017 7:58,1,1,7,7,7,7,1,1,1,1,7,2,2,3,6,5,5,3,4,2,3,4,3,3,1,2,4,3,3,2,4,3,4,4,3,4,5,4,3,4,3,4,4,4,4,4,4,4,4,3,3,2,3,3,5,5,5,4,6,5,6,3,2,5,4,1,2,1,4,5,4,1,30,Asian,4,2,2,2,1
R_5gUBvHfZ2Sm71l3,Default Response Set,Anonymous,,,68.81.42.79,0,21/02/2017 7:54,21/02/2017 7:58,1,1,5,6,6,6,2,2,2,2,6,2,2,5,6,2,6,2,6,2,3,5,3,3,2,5,4,4,2,2,2,4,4,2,2,2,2,4,3,2,2,2,2,2,3,3,3,3,4,4,4,3,4,3,4,3,4,6,5,6,6,2,2,4,4,2,2,2,4,4,4,2,58,white,13,2,2,2,2
R_8ujjrpC1BJZEBSJ,Default Response Set,Anonymous,,,64.201.88.234,0,21/02/2017 7:53,21/02/2017 7:58,1,1,6,4,4,5,3,2,3,3,4,5,2,3,6,3,4,4,4,3,3,4,5,4,3,5,3,2,3,2,4,3,3,2,2,3,2,4,3,3,3,3,3,3,4,3,4,3,3,3,3,3,3,3,3,3,3,4,3,4,4,5,3,3,4,2,2,3,2,3,2,2,44,white,7,3,2,5,1
R_246b5mtGfaDH5bL,Default Response Set,Anonymous,,,68.235.158.43,0,21/02/2017 7:53,21/02/2017 7:59,1,1,5,5,5,5,3,5,3,5,5,3,3,6,6,6,3,3,3,3,3,5,3,3,3,5,4,2,4,4,4,4,2,2,2,2,2,2,2,2,2,4,2,2,3,3,3,3,4,2,4,3,4,4,4,4,4,5,2,5,5,3,2,4,4,2,1,2,4,4,4,2,31,white,4,6,6,6,2
R_1Ht7kBY7IjsI63P,Default Response Set,Anonymous,,,75.118.61.247,0,21/02/2017 7:54,21/02/2017 7:59,1,1,7,7,7,5,1,1,2,2,6,1,1,5,7,3,6,2,6,2,3,5,5,2,3,6,2,3,2,2,2,4,2,2,2,2,2,4,2,2,2,2,3,2,3,3,4,4,4,2,2,3,4,3,4,4,3,5,3,6,6,3,2,4,4,1,2,1,4,3,2,2,37,white,3,2,1,2,1
R_a5xlB3ZFB3zYRZX,Default Response Set,Anonymous,,,70.198.132.99,0,21/02/2017 7:53,21/02/2017 7:59,1,1,7,6,7,7,1,1,1,1,7,1,2,2,6,2,4,2,4,2,2,3,2,5,2,6,2,2,2,3,4,3,4,2,2,4,2,4,3,4,2,3,3,4,4,4,4,4,3,1,1,1,3,3,3,3,4,6,2,5,6,2,2,4,4,1,1,1,3,3,2,2,58,Caucasian,10,2,1,2,1
R_5ABD5XmKH6JNtfD,Default Response Set,Anonymous,,,184.164.147.24,0,21/02/2017 7:55,21/02/2017 7:59,1,1,4,6,4,4,4,4,4,6,5,4,5,5,4,4,4,4,5,5,5,4,5,4,4,4,3,3,3,3,3,3,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,4,4,4,4,4,3,3,3,3,2,4,3,3,3,2,30,white,13,7,6,7,3
R_eeqefva4AB1jamN,Default Response Set,Anonymous,,,99.8.45.204,0,21/02/2017 7:53,21/02/2017 7:59,1,1,5,5,6,5,4,3,3,3,4,4,3,5,5,5,4,3,4,3,3,4,3,5,3,5,4,3,3,3,4,4,4,3,4,4,3,3,4,3,4,4,4,4,3,3,3,3,3,1,1,1,2,3,3,3,3,1,1,1,4,6,2,3,3,2,2,2,2,3,3,2,43,white,6,5,5,5,2
R_3QNLfrHWeIN9kXz,Default Response Set,Anonymous,,,96.253.6.215,0,21/02/2017 7:54,21/02/2017 7:59,1,1,1,2,2,2,5,6,6,5,2,3,2,2,6,7,6,3,4,6,6,6,7,1,6,3,5,4,5,5,5,4,5,4,4,5,5,3,4,5,5,5,5,5,2,2,2,3,3,1,3,2,2,1,1,1,1,2,1,1,2,7,2,4,4,2,3,2,2,3,4,2,34,caucasian,6,3,3,4,1
R_6gLarbCaFxl5Rml,Default Response Set,Anonymous,,,164.119.71.225,0,21/02/2017 7:58,21/02/2017 7:59,1,1,5,5,3,6,5,4,5,2,6,5,6,4,5,5,6,4,6,5,4,5,6,5,4,6,4,3,4,3,4,2,2,4,3,4,2,2,3,4,4,2,4,3,2,3,3,2,4,3,4,3,4,3,2,2,3,6,6,3,6,5,4,2,4,3,4,4,4,3,4,1,27,White,9,3,2,4,1
R_6DtO6xP1lVwRg1f,Default Response Set,Anonymous,,,174.59.59.224,0,21/02/2017 7:53,21/02/2017 7:59,1,1,4,4,5,4,5,3,5,5,4,2,2,5,4,7,2,3,2,4,5,7,4,2,3,5,4,3,3,2,4,3,3,3,2,3,2,4,4,1,3,3,3,3,3,2,2,2,3,2,2,2,3,3,2,2,3,4,2,5,5,6,1,4,4,2,1,1,3,4,3,2,36,Caucasian,6,7,7,7,3
R_9WAM6Ny1QEZwAf3,Default Response Set,Anonymous,,,207.239.150.100,0,21/02/2017 7:56,21/02/2017 7:59,1,1,4,5,4,4,4,4,3,4,4,4,4,4,4,5,4,3,3,4,3,5,4,4,3,3,4,2,3,3,3,3,3,3,3,3,2,3,4,3,2,2,4,4,3,2,3,3,3,2,2,2,2,3,2,2,2,6,5,5,6,3,2,4,3,3,3,3,2,2,2,2,45,white,5,1,1,1,1
R_06VlegHSXEk37TL,Default Response Set,Anonymous,,,98.94.17.79,0,21/02/2017 7:56,21/02/2017 7:59,1,1,4,4,3,3,7,4,4,5,4,3,5,4,4,7,5,4,5,4,7,3,3,3,3,7,5,5,5,3,2,2,5,2,3,3,3,5,3,3,4,5,3,3,4,2,2,2,3,4,5,5,4,3,5,3,4,4,7,3,5,5,3,2,5,3,3,3,5,3,5,1,25,AMERICAN,1,6,6,5,3
R_1RoZQMrcatrMSvr,Default Response Set,Anonymous,,,71.191.206.86,0,21/02/2017 7:56,21/02/2017 7:59,1,1,7,7,7,7,1,1,1,1,7,1,1,6,7,2,7,2,5,2,1,2,1,3,1,6,2,3,2,2,3,3,3,1,2,3,2,3,2,3,1,3,3,2,4,4,3,3,3,3,3,3,3,3,3,3,3,6,6,6,6,2,2,3,5,1,2,1,5,5,5,2,23,white,7,9,9,9,2
R_6ooawKG7vfsdWZv,Default Response Set,Anonymous,,,173.59.14.52,0,21/02/2017 7:54,21/02/2017 7:59,1,1,7,7,7,7,1,1,1,2,7,1,1,7,7,1,7,1,7,1,2,1,1,7,1,6,4,1,1,1,4,4,1,1,1,4,1,2,1,1,1,2,1,1,4,4,4,4,4,2,4,3,4,4,4,4,4,1,1,6,6,1,4,5,5,1,1,1,5,5,1,2,29,White,3,5,5,5,1
R_2bDY8SHPtZ2tuzX,Default Response Set,Anonymous,,,104.63.121.38,0,21/02/2017 7:54,21/02/2017 7:59,1,1,2,2,2,2,7,7,6,5,2,3,4,2,5,6,2,5,1,5,5,6,6,2,4,2,4,3,4,4,4,3,4,2,4,4,4,3,4,2,4,4,4,4,3,1,2,1,3,2,2,2,3,2,2,3,3,1,1,1,1,7,2,4,4,2,1,1,4,4,4,2,40,white,11,6,5,7,3
R_eqBvn9O8dAPmsIJ,Default Response Set,Anonymous,,,108.67.200.49,0,21/02/2017 7:55,21/02/2017 8:00,1,1,7,7,6,7,2,2,1,1,6,3,1,6,7,3,6,2,6,3,3,2,3,6,1,7,4,5,4,4,4,5,4,2,2,4,4,5,4,4,4,4,2,4,4,4,4,3,5,1,4,2,4,4,3,5,5,1,2,3,5,6,2,4,4,1,1,1,4,5,4,1,27,White,4,3,2,5,2
R_6y9dgzJWhI0UUHX,Default Response Set,Anonymous,,,209.95.56.223,0,21/02/2017 7:53,21/02/2017 8:00,1,1,5,6,6,6,7,6,4,6,5,5,6,5,7,4,5,6,4,6,5,4,5,6,6,6,4,3,3,4,5,4,4,3,3,5,4,4,3,3,5,4,3,3,3,2,2,4,4,5,4,3,5,4,3,4,4,4,4,6,5,5,5,4,4,3,4,5,3,4,4,1,24,Caucasian,7,7,7,7,3
R_4UscA7Lpkxe3Lnf,Default Response Set,Anonymous,,,24.52.151.146,0,21/02/2017 7:57,21/02/2017 8:00,1,1,4,5,4,2,3,3,5,4,4,4,4,4,5,6,3,3,3,5,5,6,5,1,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,3,2,3,3,2,1,3,3,3,3,3,4,1,5,4,1,2,4,4,2,2,2,4,4,4,2,33,white,2,6,3,7,3
R_0GwbxKolgURZotT,Default Response Set,Anonymous,,,50.46.141.197,0,21/02/2017 7:56,21/02/2017 8:00,1,1,7,7,7,7,1,1,1,1,7,1,1,7,7,3,5,1,5,1,1,4,4,4,1,7,1,2,1,2,3,5,3,1,1,3,1,3,1,3,1,3,3,3,4,4,4,4,3,2,3,2,3,3,3,3,3,1,1,1,1,7,1,4,1,5,1,3,1,1,1,1,35,Caucasian,6,1,1,1,1
R_a5KGD72RD9MiHGt,Default Response Set,Anonymous,,,173.218.181.22,0,21/02/2017 7:53,21/02/2017 8:00,1,1,5,6,6,5,3,3,3,3,5,4,5,5,5,5,5,3,3,3,3,5,4,3,3,5,3,1,2,4,5,5,3,3,4,4,4,4,5,3,4,5,4,4,4,3,3,3,5,5,5,2,3,4,5,5,5,5,1,5,6,5,2,3,4,1,2,1,4,4,4,2,44,White,6,6,6,6,3
R_3NI2Qn1DHvVCuCp,Default Response Set,Anonymous,,,73.155.96.33,0,21/02/2017 7:53,21/02/2017 8:00,1,1,5,5,7,5,1,1,1,1,6,1,3,5,6,2,5,2,2,2,2,2,2,4,2,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,3,3,3,1,3,3,3,4,3,1,1,6,7,5,1,4,5,2,2,2,4,4,3,2,31,White/Latina/Native American,1,3,3,3,2
R_b7p3Sa6ejcpH9Nb,Default Response Set,Anonymous,,,70.61.225.210,0,21/02/2017 7:53,21/02/2017 8:00,1,1,4,4,5,4,4,4,3,3,4,5,3,4,4,5,3,5,3,4,4,6,4,3,3,4,4,3,4,4,5,4,5,4,3,5,3,4,4,1,4,4,4,4,3,2,2,2,3,2,2,2,3,3,3,3,2,2,2,3,5,7,1,4,4,2,1,1,3,3,3,1,37,WHITE,8,2,2,6,1
R_87kIOqjT6M8cbGd,Default Response Set,Anonymous,,,73.64.19.156,0,21/02/2017 7:54,21/02/2017 8:00,1,1,6,6,6,6,2,2,2,2,6,2,2,6,6,6,6,2,6,2,2,2,2,6,2,6,2,3,2,2,3,4,2,3,2,3,3,3,3,3,3,3,3,3,4,4,4,4,4,3,4,3,4,4,5,4,5,5,3,7,7,3,2,4,5,1,2,1,5,5,5,1,51,White,3,6,7,3,2
R_bw7BRQu1YmPkZGl,Default Response Set,Anonymous,,,140.209.42.35,0,21/02/2017 7:56,21/02/2017 8:00,1,1,6,6,6,6,1,1,1,1,6,5,1,5,6,5,6,2,6,2,2,4,2,5,2,6,3,1,4,3,4,4,4,4,2,4,3,4,4,5,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,4,6,3,4,4,2,1,1,4,4,4,1,35,Caucasian,10,1,1,2,1
R_brZmvnASRmLIK33,Default Response Set,Anonymous,,,112.207.48.199,0,21/02/2017 7:57,21/02/2017 8:00,1,1,4,5,5,4,3,6,4,4,5,6,4,5,5,6,5,5,4,5,5,5,4,4,6,5,4,4,3,3,4,4,3,4,4,3,4,4,5,4,3,3,4,4,3,4,3,3,3,3,4,4,3,3,4,4,5,6,5,5,5,5,4,4,3,4,4,3,3,4,3,1,29,white,4,4,3,3,1
R_3ISeDEYdn6eN86p,Default Response Set,Anonymous,,,4.16.24.147,0,21/02/2017 7:57,21/02/2017 8:00,1,1,5,5,5,6,4,2,3,4,6,5,5,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,2,2,2,2,3,5,5,4,4,4,5,5,4,2,4,4,4,4,4,4,4,4,1,24,Asian,5,2,2,2,1
R_3Fd0cr0t1pH490N,Default Response Set,Anonymous,,,208.80.170.212,0,21/02/2017 7:56,21/02/2017 8:01,1,1,2,3,2,5,6,5,6,6,3,2,3,2,5,2,5,3,6,2,6,6,5,4,5,3,2,4,2,2,3,3,3,2,2,3,4,1,2,4,2,3,4,2,3,3,2,2,2,1,2,3,2,3,2,4,3,4,2,2,5,6,2,4,2,4,1,2,4,4,4,1,21,Hispanic,7,4,4,4,2
R_4YH3DxJGGDrVGm1,Default Response Set,Anonymous,,,71.206.127.201,0,21/02/2017 7:56,21/02/2017 8:01,1,1,7,7,7,6,1,1,1,1,7,2,1,6,7,5,6,2,3,1,1,6,3,6,1,7,2,1,2,2,3,2,3,2,2,3,2,3,4,3,2,3,3,3,4,4,4,4,4,2,3,3,3,4,4,4,4,2,2,3,2,6,2,4,4,2,1,1,4,4,4,1,55,Caucasian,3,3,3,5,2
R_bpVThQOxwZf5NBz,Default Response Set,Anonymous,,,47.196.118.78,0,21/02/2017 7:55,21/02/2017 8:01,1,1,6,5,6,5,3,2,3,3,6,3,2,2,5,5,6,1,6,1,3,6,6,1,2,3,2,2,3,2,3,3,3,2,3,3,3,3,3,3,4,4,4,3,4,4,4,4,2,1,1,2,2,3,3,3,2,2,3,6,4,6,2,4,4,4,1,1,3,3,3,2,36,Asian,11,4,4,4,1
R_bQOOnEQNlEsjOEB,Default Response Set,Anonymous,,,64.126.92.250,0,21/02/2017 7:54,21/02/2017 8:01,1,1,4,2,5,4,4,3,2,3,4,1,4,4,6,4,1,6,1,2,3,6,2,1,2,5,2,3,3,3,4,4,2,3,3,3,3,3,3,4,3,2,3,3,3,3,3,3,2,1,1,1,2,3,3,3,3,3,4,5,6,5,3,2,4,1,2,1,2,2,2,1,42,white hispanic,2,6,6,6,3
R_5dJfzUz5PrbfiSh,Default Response Set,Anonymous,,,72.241.203.169,0,21/02/2017 7:58,21/02/2017 8:01,1,1,4,6,6,3,3,5,6,5,4,3,5,4,3,4,3,5,4,5,3,6,4,6,5,3,4,2,2,3,4,3,4,4,5,3,4,2,3,4,3,4,4,3,3,2,2,3,2,4,2,4,4,3,4,4,5,5,3,3,4,5,4,2,3,5,5,4,4,3,4,1,24,Caucasian,5,5,5,5,1
R_9GEjZMS8i1YX3hj,Default Response Set,Anonymous,,,142.234.115.35,0,21/02/2017 7:54,21/02/2017 8:01,1,1,5,6,6,5,5,3,5,6,4,7,6,5,4,5,7,6,7,4,7,5,7,7,6,6,4,5,5,5,4,4,5,5,4,4,5,4,5,4,4,3,5,4,4,3,4,2,4,5,4,5,4,4,5,4,3,5,7,6,7,6,5,4,5,5,2,3,5,4,3,1,25,white,3,7,6,6,3
R_e9Fyx2qgY9GOLVb,Default Response Set,Anonymous,,,73.83.242.150,0,21/02/2017 7:57,21/02/2017 8:01,1,1,6,6,6,3,2,3,2,2,6,3,2,4,6,6,4,6,2,3,4,7,7,5,3,6,4,1,3,4,4,4,4,4,4,4,3,5,5,5,3,4,3,4,4,1,4,1,3,3,3,1,3,3,4,4,4,3,1,6,7,6,2,4,4,4,1,1,3,5,4,2,24,White,5,7,7,7,3
R_bOgyGp0aM2WvjAp,Default Response Set,Anonymous,,,108.244.15.83,0,21/02/2017 7:57,21/02/2017 8:01,1,1,6,7,7,7,1,1,1,1,7,3,1,3,7,4,5,1,6,1,6,1,1,4,1,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,4,4,4,4,3,3,3,2,3,3,3,3,3,4,1,7,7,4,1,4,5,1,1,1,5,5,5,2,42,BLACK,6,4,4,4,4
R_20hIsz4tEv6HNBz,Default Response Set,Anonymous,,,66.194.104.5,0,21/02/2017 7:57,21/02/2017 8:02,1,1,7,5,6,6,6,1,1,6,6,4,4,5,5,5,4,5,4,5,5,6,5,4,5,5,4,3,3,3,4,4,3,3,3,4,4,4,3,3,3,3,3,4,3,3,2,3,4,3,4,4,4,4,4,4,4,6,5,5,6,4,4,4,3,3,4,4,3,4,4,1,39,white,6,2,2,2,1
R_1M8VaAHrbPsf7lH,Default Response Set,Anonymous,,,24.97.68.92,0,21/02/2017 7:54,21/02/2017 8:02,1,1,6,6,7,6,1,2,2,2,6,3,2,4,6,4,5,4,4,3,3,5,2,2,3,5,3,3,3,3,3,3,3,3,3,4,3,4,4,3,3,4,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,5,2,6,6,6,1,5,5,1,2,1,5,5,5,2,45,White,6,3,3,4,1
R_4GelcTGLpiIPMtn,Default Response Set,Anonymous,,,107.1.66.13,0,21/02/2017 7:54,21/02/2017 8:02,1,1,2,2,6,2,6,5,3,2,2,5,4,2,4,5,4,5,4,4,4,6,4,3,4,4,4,3,4,4,4,4,4,3,3,4,4,3,2,4,3,4,4,4,1,1,2,2,4,4,4,4,4,4,4,4,4,2,2,2,2,6,2,4,4,3,2,2,4,4,4,1,37,white,7,7,4,7,3
R_5o8F4d41bO80inH,Default Response Set,Anonymous,,,68.70.176.230,0,21/02/2017 7:55,21/02/2017 8:02,1,1,3,4,5,5,4,3,3,3,4,5,5,3,3,5,3,4,3,4,4,5,4,3,4,4,4,2,4,3,4,3,4,4,3,4,3,4,4,3,4,4,4,4,3,2,3,2,3,2,2,2,3,3,3,3,3,3,3,4,5,5,2,4,4,2,2,2,3,4,4,1,39,white,8,5,5,5,3
R_4SeIjldGNllzsSF,Default Response Set,Anonymous,,,99.3.18.80,0,21/02/2017 7:54,21/02/2017 8:02,1,1,7,7,7,7,1,1,1,1,7,3,1,7,7,7,4,4,2,1,1,7,1,2,1,7,2,2,2,3,3,3,3,3,1,3,1,4,1,4,2,3,2,3,4,4,4,4,3,3,3,3,3,2,3,3,3,1,1,1,3,7,2,3,5,2,1,1,3,3,2,1,60,white,1,1,1,2,1
R_cIW9x6SYV07s2I5,Default Response Set,Anonymous,,,72.228.42.128,0,21/02/2017 7:53,21/02/2017 8:02,1,1,7,7,7,7,1,1,1,1,7,1,1,6,7,1,7,2,6,1,2,5,2,1,2,6,2,2,2,1,2,4,2,1,2,4,2,4,4,4,2,4,4,2,4,4,3,3,3,2,4,2,3,5,3,3,4,6,5,6,7,2,2,4,4,2,1,1,5,4,4,2,25,American,3,1,1,1,1
R_8v2ij3pFCjN9hwp,Default Response Set,Anonymous,,,71.91.230.66,0,21/02/2017 7:53,21/02/2017 8:02,1,1,6,7,6,6,3,2,2,2,6,3,1,5,6,4,6,3,6,3,3,4,3,4,3,5,4,3,4,4,4,4,4,4,3,4,4,4,3,4,4,4,4,4,3,4,3,3,3,2,3,2,3,4,3,3,3,1,1,5,5,5,3,4,4,2,2,1,3,3,3,1,53,caucasian,2,3,3,3,1
R_9oCiwsqKMO1yTJ3,Default Response Set,Anonymous,,,69.207.172.128,0,21/02/2017 7:53,21/02/2017 8:02,1,1,2,3,3,2,4,4,3,4,4,5,3,3,5,5,4,3,4,5,5,5,5,3,5,2,4,2,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,1,1,1,1,2,1,1,1,2,1,2,2,2,2,2,2,4,5,2,4,4,2,1,1,3,4,4,2,59,WHITE,7,7,7,7,3
R_bvdj8gx14MYXFPv,Default Response Set,Anonymous,,,192.183.130.227,0,21/02/2017 7:56,21/02/2017 8:02,1,1,2,6,6,5,3,1,1,1,6,1,2,5,7,3,5,3,2,3,3,6,3,1,3,5,3,1,4,3,4,4,4,2,2,4,2,2,3,5,2,4,4,4,4,3,4,3,3,2,2,3,3,3,3,3,3,3,2,5,6,5,1,4,5,1,1,1,4,4,4,1,41,caucasian,15,2,2,4,1
R_6ruyfrFF1W3HxvD,Default Response Set,Anonymous,,,172.103.23.60,0,21/02/2017 7:57,21/02/2017 8:02,1,1,6,6,6,6,2,1,1,1,6,4,2,5,7,5,6,3,6,2,3,5,2,3,3,5,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4,4,4,3,4,4,3,1,2,1,4,2,3,3,3,3,3,4,5,6,3,4,4,1,2,1,4,5,3,2,53,EAST INDIAN,5,4,3,5,2
R_cOOwijqU9meRkz3,Default Response Set,Anonymous,,,74.194.124.241,0,21/02/2017 7:53,21/02/2017 8:02,1,1,5,5,6,5,2,2,2,2,6,2,2,5,5,3,6,2,5,2,3,4,2,6,2,6,3,4,2,2,2,3,2,2,3,2,2,4,2,3,2,1,1,2,4,4,4,4,2,1,2,1,2,3,2,3,2,1,1,3,3,7,2,4,3,1,1,1,4,3,3,1,38,white,1,4,3,7,2
R_88pXhAM1tyLeTUp,Default Response Set,Anonymous,,,198.45.141.75,0,21/02/2017 7:55,21/02/2017 8:02,1,1,7,7,7,7,1,1,1,1,7,1,1,6,7,6,6,2,5,1,5,4,3,5,1,6,4,2,1,2,3,4,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,5,3,3,3,3,2,4,4,4,1,1,2,5,6,2,4,5,1,1,1,4,4,4,2,38,Black,1,2,2,2,1
R_72qMYfNhYeZGL2d,Default Response Set,Anonymous,,,68.208.150.66,0,21/02/2017 7:57,21/02/2017 8:03,1,1,1,1,2,1,6,7,7,7,1,2,2,1,7,6,2,2,2,6,7,7,7,2,7,1,5,4,5,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,2,1,2,2,1,1,1,1,1,3,3,3,3,1,1,2,2,7,2,5,5,1,1,1,5,4,5,2,31,Caucasian,5,6,6,6,3
