V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Q17,tol1,tol2,tol3,tol4,tol5,amount1,amount2,amount3,amount4,growth1,growth2,growth3,growth4,fixable1,fixable2,fixable3,fixable4,fixable5,fixable6,fixable7,bjw1,bjw2,bjw3,bjw4,bjw5,bjw6,bjw7,bjw8,bjw9,bjw10,bjw11,bjw12,bjw13,bjw14,bjw15,bjw16,bjw17,bjw18,sdo1,sdo2,sdo3,sdo4,sdo5,sdo6,sdo7,sdo8,sdo9,sdo10,sdo11,sdo12,sdo13,sdo14,sdo15,esjt1,esjt2,esjt3,esjt4,esjt5,esjt6,esjt7,esjt8,esjt9,esjt10,esjt11,esjt12,esjt13,esjt14,esjt15,esjt16,esjt17,pwe1,pwe2,pwe3,pwe4,pwe5,pwe6,pwe7,pwe8,pwe9,pwe10,pwe11,pwe12,pwe13,pwe14,pwe15,pwe16,pwe17,pwe18,pwe19,wvs,issp,inegal1,inegal2,inegal3,inegal4,inegal5,inegal6,inegal7,inegal8,redist1,redist2,redist3,redist4,Q28,Q29,dict.give,gender,age,ethnicity,income,ideol,soc.att,econ.att,partyID,Q18,comp.code
R_YSyaol3VHrmrDyx,Default Response Set,Anonymous,,,73.203.237.129,0,2018-05-08 11:28,2018-05-08 11:31,1,1,6,5,5,6,6,5,6,4,6,4,4,5,6,5,5,5,7,6,4,4,5,4,3,3,2,1,2,3,4,4,4,4,4,4,3,2,4,2,5,4,6,6,5,4,4,5,5,4,6,6,5,4,4,5,6,7,6,5,6,7,8,7,5,8,8,7,7,6,5,7,6,5,5,4,4,6,6,6,5,4,5,5,6,6,7,6,5,5,4,7,5,4,3,4,4,4,4,3,4,2,3,4,4,1,1,1,1,23,White,15,5,6,5,2,1,1781
R_OJSVmyaoSnDGgKZ,Default Response Set,Anonymous,,,23.254.244.140,0,2018-05-08 11:27,2018-05-08 11:31,1,1,7,6,6,7,6,6,6,7,6,6,6,6,7,6,6,6,7,6,6,7,5,5,4,4,5,4,4,4,4,4,5,4,5,4,4,5,5,5,6,7,6,6,7,6,6,7,7,6,6,7,6,6,7,9,7,8,9,8,7,8,7,8,7,7,8,9,7,8,8,9,7,6,6,5,6,6,7,6,5,6,6,5,6,6,6,5,6,5,6,10,6,4,5,5,5,4,5,5,3,4,3,4,3,1,1,8,1,30,white,6,6,7,7,3,1,5097
R_3hyXXSuGdoVng14,Default Response Set,Anonymous,,,71.47.130.235,0,2018-05-08 11:28,2018-05-08 11:31,1,1,5,5,4,4,1,1,4,3,5,4,6,2,7,3,4,5,3,4,5,3,3,4,3,4,4,3,3,4,3,3,4,5,4,3,4,4,3,4,6,4,6,5,5,4,5,5,4,6,5,6,2,4,7,7,5,5,5,4,5,4,6,4,5,4,5,5,5,5,5,7,5,5,3,5,3,5,4,5,4,5,4,5,4,2,5,3,5,6,4,3,4,4,3,4,4,4,3,4,3,4,4,2,2,1,1,4,2,23,White,5,2,3,3,1,1,1894
R_1OABOSiyc6b8nmx,Default Response Set,Anonymous,,,198.72.247.247,0,2018-05-08 11:30,2018-05-08 11:32,1,1,5,3,3,6,4,3,5,7,5,6,3,7,2,6,5,2,6,3,4,5,2,4,2,4,5,2,1,4,3,2,1,4,2,4,1,2,4,3,2,4,1,3,2,4,5,2,6,5,2,6,3,4,1,3,2,7,3,2,6,4,2,7,5,2,5,3,7,3,8,4,3,4,7,2,4,6,2,5,2,6,3,6,4,2,5,4,1,6,4,5,3,1,5,3,4,1,3,4,3,1,2,3,4,1,1,3,2,22,Vietnamese,4,4,4,4,2,1,7153
R_1kMl0qsH26QREgN,Default Response Set,Anonymous,,,216.129.126.118,0,2018-05-08 11:30,2018-05-08 11:32,1,1,5,5,6,5,4,6,5,6,5,5,5,6,5,4,3,5,4,5,6,6,4,4,4,4,4,4,4,5,4,4,4,4,3,3,4,4,5,4,6,5,5,4,4,5,6,5,6,6,5,5,6,5,6,6,8,8,6,6,7,7,8,7,6,6,5,6,7,6,8,7,5,6,5,6,6,5,5,6,7,6,5,5,4,6,4,6,5,6,4,8,5,4,3,4,4,5,4,3,3,3,3,3,3,1,1,6,1,29,Chinese,15,1,1,1,1,1,4779
R_1Igx6Ou9Sufxyb7,Default Response Set,Anonymous,,,199.175.46.4,0,2018-05-08 11:27,2018-05-08 11:32,1,1,2,1,2,6,2,2,2,6,5,6,6,1,5,7,7,7,6,1,7,2,3,1,3,2,2,3,3,4,1,4,2,4,3,2,4,4,5,5,2,1,5,5,2,6,3,5,5,4,2,3,6,7,4,6,6,8,6,7,5,7,2,7,2,2,6,5,8,1,7,1,5,6,7,6,7,7,5,7,3,4,5,7,4,6,6,6,6,5,5,7,2,4,5,3,5,5,5,5,3,1,1,2,2,1,1,1,2,50,White,15,6,7,7,3,1,4180
R_1hXdIyDN3VgxHpP,Default Response Set,Anonymous,,,69.244.119.177,0,2018-05-08 11:29,2018-05-08 11:32,1,1,4,2,3,5,5,2,5,3,4,4,3,3,4,5,5,4,3,5,2,2,4,2,4,3,4,3,5,2,3,3,4,3,4,2,4,3,3,4,5,2,4,6,2,4,5,3,3,4,4,3,5,4,2,5,3,5,3,5,2,4,5,3,3,4,5,3,4,4,4,5,3,4,3,5,2,5,3,4,4,5,3,6,5,2,5,3,4,4,3,6,3,4,4,5,3,4,4,4,3,4,3,3,2,1,1,3,2,28,usa,5,3,4,3,3,1,1377
R_2SIEGHSVENQBRsP,Default Response Set,Anonymous,,,71.47.130.235,0,2018-05-08 11:27,2018-05-08 11:32,1,1,4,5,4,5,5,5,4,4,5,5,4,3,3,3,3,5,6,3,5,5,4,1,2,2,1,4,3,1,2,3,4,2,3,2,3,3,3,4,6,5,5,4,4,5,5,4,4,5,5,4,5,4,4,7,7,8,6,7,6,3,3,6,6,7,6,7,4,4,2,6,6,5,5,5,4,3,4,5,4,4,3,4,3,5,5,5,5,5,5,4,5,5,4,5,4,4,4,1,3,4,4,3,4,1,1,3,1,29,White,7,3,3,3,1,1,3853
R_tYSNU6lcdUHbg2d,Default Response Set,Anonymous,,,199.227.131.146,0,2018-05-08 11:28,2018-05-08 11:32,1,1,5,6,5,6,7,3,3,5,7,6,4,3,5,2,3,5,4,3,3,3,4,5,2,4,5,5,2,4,5,3,5,3,3,5,3,5,4,4,6,7,1,1,7,1,6,6,1,7,1,6,1,1,6,7,8,9,5,4,6,5,6,7,5,7,6,7,5,7,3,4,3,2,6,6,7,3,5,3,6,6,4,6,6,4,5,7,3,6,4,2,7,1,1,1,1,3,1,1,3,4,4,3,3,1,1,6,1,31,Asian,4,2,2,2,1,1,1427
R_31WviQhEifRaC4w,Default Response Set,Anonymous,,,72.94.225.35,0,2018-05-08 11:27,2018-05-08 11:32,1,1,6,7,6,2,2,3,2,6,7,4,6,2,5,2,2,2,2,2,2,6,2,2,2,2,2,2,2,2,2,2,3,5,2,2,2,2,2,2,7,7,1,1,7,1,1,7,1,7,4,6,2,2,6,4,4,6,9,5,6,3,8,2,2,2,2,2,2,8,2,2,5,5,6,5,6,3,4,4,5,4,3,3,5,5,5,4,3,5,4,1,7,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,2,43,white,6,7,7,3,3,1,1950
R_2wLj0wttZV2F3Qz,Default Response Set,Anonymous,,,196.16.111.39,0,2018-05-08 11:27,2018-05-08 11:32,1,1,7,6,5,5,6,5,5,6,5,6,5,3,4,5,6,6,5,6,6,5,3,2,3,4,4,3,3,4,4,3,3,4,4,3,4,3,4,4,6,5,5,5,4,6,4,5,6,5,4,5,5,6,5,8,7,8,5,8,7,7,6,7,8,8,7,7,8,7,8,6,5,6,5,6,6,6,5,6,5,4,3,3,4,5,5,6,5,6,5,8,4,4,5,4,3,4,4,4,3,3,3,3,3,1,1,8,1,26,white,1,2,2,2,1,1,6884
R_3hiI6IvofjS3po0,Default Response Set,Anonymous,,,104.200.36.51,0,2018-05-08 11:27,2018-05-08 11:32,1,1,6,5,6,6,5,6,6,5,7,7,6,6,5,5,6,6,6,5,6,7,4,3,4,5,4,4,3,4,5,4,3,4,5,4,5,3,4,5,6,5,7,6,5,6,7,6,5,6,7,6,5,6,7,7,8,6,8,7,8,7,6,8,7,5,8,6,8,6,8,7,6,5,7,6,5,6,7,6,5,6,7,6,5,6,7,6,5,6,7,8,6,4,3,4,5,4,4,5,4,3,2,4,3,1,1,8,1,30,WHITE,2,2,5,2,2,1,6966
R_23WRe9nC4PbIr24,Default Response Set,Anonymous,,,72.196.200.198,0,2018-05-08 11:30,2018-05-08 11:33,1,1,4,4,6,5,5,5,4,3,5,5,6,4,5,4,5,3,4,3,5,5,3,4,2,3,4,2,3,4,4,3,2,2,3,2,3,4,4,3,3,5,5,6,3,4,5,4,4,6,5,4,5,2,4,5,4,5,6,7,5,6,5,4,5,5,7,6,4,5,6,6,4,5,5,6,3,4,5,5,3,5,4,6,5,5,3,6,4,5,4,6,4,3,4,4,3,5,4,4,3,2,3,4,3,1,1,1,1,40,white,4,3,3,3,1,1,7493
R_2ONnKPujuKymhpk,Default Response Set,Anonymous,,,66.196.5.175,0,2018-05-08 11:30,2018-05-08 11:33,1,1,4,5,3,4,4,5,4,5,6,5,5,6,4,5,6,4,6,5,4,6,3,3,3,4,4,3,5,4,3,3,4,4,4,3,5,3,4,4,4,6,3,7,5,4,4,4,5,4,3,4,4,5,5,8,6,7,9,4,7,6,5,5,6,7,6,7,7,6,5,6,6,5,4,5,7,5,6,6,4,4,6,6,5,4,3,5,4,5,5,4,6,4,3,3,4,5,4,3,3,2,2,3,3,1,1,3,1,25,white,2,3,3,3,1,1,1128
R_2xY19jl04qm68el,Default Response Set,Anonymous,,,198.1.29.5,0,2018-05-08 11:29,2018-05-08 11:33,1,1,7,7,7,1,1,1,1,5,7,2,7,1,7,1,1,2,1,3,2,6,1,2,1,2,2,2,2,1,2,2,1,2,2,1,1,2,2,2,7,7,1,1,7,1,7,7,1,7,1,7,1,1,7,2,2,2,9,2,9,2,7,2,4,7,4,7,7,3,1,9,2,5,5,5,6,4,2,3,2,5,3,4,6,5,6,5,6,3,3,1,7,1,1,1,1,1,1,1,3,4,4,4,4,1,1,1,2,32,white,6,1,1,1,1,1,7098
R_1dKTkJwd7tPUodJ,Default Response Set,Anonymous,,,67.149.146.6,0,2018-05-08 11:28,2018-05-08 11:34,1,1,5,5,5,3,3,5,5,5,5,5,5,5,6,5,6,5,6,5,6,5,4,4,4,4,5,4,4,4,4,5,4,4,5,4,4,4,4,4,5,5,3,3,6,2,3,6,6,5,5,5,6,6,6,6,7,6,7,7,6,7,7,6,7,7,6,7,7,6,3,6,5,5,6,6,5,5,5,5,6,6,5,5,5,5,5,5,5,5,6,7,5,4,4,4,5,4,4,4,3,3,3,3,3,1,1,3,2,24,White ,1,3,2,2,1,1,2281
R_3QLwmjLYNvQruhY,Default Response Set,Anonymous,,,122.165.170.177,0,2018-05-08 11:28,2018-05-08 11:34,1,1,6,6,5,5,6,5,5,6,6,5,5,6,5,5,6,5,5,5,6,5,4,4,3,3,4,4,3,3,4,4,4,3,3,4,4,4,3,4,6,6,5,5,6,6,5,5,5,5,6,6,5,5,6,7,8,7,6,7,6,6,7,7,6,6,7,7,6,6,6,6,6,6,5,5,6,6,5,5,5,6,6,5,5,5,5,5,5,5,5,9,6,4,4,4,4,4,4,3,3,3,3,2,3,1,1,7,1,31,WHITE,3,6,6,6,3,1,7636
R_2z6Wg4PxeXbod1Z,Default Response Set,Anonymous,,,23.95.226.250,0,2018-05-08 11:27,2018-05-08 11:34,1,1,7,7,6,6,6,7,7,6,6,7,6,6,7,7,6,7,6,6,6,7,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,6,7,6,7,6,7,6,6,7,6,7,6,7,6,7,7,8,7,9,9,7,9,8,8,9,8,9,8,9,8,9,8,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,8,6,4,5,4,5,4,5,4,3,3,4,3,4,1,1,6,1,30,haspanic,2,1,2,2,2,1,7121
R_3RmbN8mpKas35ZL,Default Response Set,Anonymous,,,75.128.183.238,0,2018-05-08 11:27,2018-05-08 11:34,1,1,7,7,7,1,1,1,1,7,7,2,6,2,6,1,1,1,1,7,1,7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,7,7,1,1,7,1,7,7,1,7,1,7,1,1,7,2,9,1,9,1,9,1,9,1,9,1,1,9,1,9,1,9,2,1,4,4,4,2,4,2,7,4,2,4,5,2,7,5,4,4,2,1,7,1,1,1,1,1,1,1,3,4,4,4,4,1,1,1,2,33,white,7,1,1,1,1,1,5646
R_1LFfuFnLxtEOWDf,Default Response Set,Anonymous,,,190.124.31.4,0,2018-05-08 11:28,2018-05-08 11:34,1,1,3,5,4,4,6,4,5,4,5,3,4,5,3,3,5,3,7,5,4,5,3,3,4,2,2,3,1,3,4,2,5,2,4,3,3,4,4,3,2,2,7,2,5,2,5,2,5,3,5,5,4,3,5,5,5,5,6,4,6,5,6,4,4,6,4,9,4,5,5,6,4,5,3,6,4,4,4,3,4,4,4,4,4,4,4,4,4,1,5,5,4,1,5,4,3,1,1,5,1,4,4,1,1,1,1,5,1,31,White,15,4,5,1,2,1,3388
R_3MnufSREnfSdxeZ,Default Response Set,Anonymous,,,71.182.138.68,0,2018-05-08 11:28,2018-05-08 11:34,1,1,5,5,6,4,2,4,4,5,5,4,5,3,6,4,2,4,2,4,3,5,3,3,4,3,4,3,4,3,4,4,4,4,3,3,3,3,5,3,7,7,3,2,6,2,6,6,2,6,1,6,2,2,6,6,5,6,5,3,5,5,6,5,6,4,5,6,4,5,2,5,2,3,4,4,5,4,4,2,4,5,3,4,5,6,4,4,7,4,3,4,6,3,3,3,3,1,3,3,3,3,3,3,3,1,1,6,1,36,american,8,4,4,4,2,1,8508
R_2S1TemVMvKKyfqF,Default Response Set,Anonymous,,,98.176.238.152,0,2018-05-08 11:30,2018-05-08 11:34,1,1,7,7,7,1,1,1,1,7,7,4,4,1,4,1,1,1,1,1,1,7,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,1,1,7,1,7,7,1,7,1,7,1,1,7,9,9,1,9,1,9,5,9,6,5,1,9,9,1,9,1,9,1,1,1,1,1,1,1,1,7,7,4,1,1,1,7,4,7,1,1,1,7,1,1,1,1,1,1,1,3,4,4,4,4,1,1,1,1,27,Asian,15,2,2,4,2,1,5765
R_3oXUJOPoW8uQzhU,Default Response Set,Anonymous,,,75.166.78.136,0,2018-05-08 11:28,2018-05-08 11:34,1,1,5,4,5,4,2,3,3,5,5,3,4,3,2,3,5,6,6,4,3,5,3,2,2,4,3,3,1,4,2,2,3,3,1,4,3,4,4,2,3,3,6,5,5,4,3,4,4,2,6,5,5,3,4,5,3,4,4,6,6,3,4,4,7,5,5,7,2,3,3,5,3,4,4,2,5,3,3,5,4,4,2,5,3,3,5,4,4,6,5,7,4,3,1,1,4,3,3,5,3,3,2,2,3,1,1,1,1,31,white,8,4,4,4,2,1,1706
R_1FROft8CCVzQw9l,Default Response Set,Anonymous,,,75.151.31.5,0,2018-05-08 11:31,2018-05-08 11:34,1,1,5,5,5,3,4,5,4,5,3,4,5,5,3,3,3,4,4,5,5,4,4,3,2,3,4,2,4,3,4,4,2,4,3,4,3,3,4,4,4,6,1,5,3,4,5,3,4,5,3,3,5,3,5,6,4,6,7,4,7,5,6,6,5,6,4,7,4,5,6,4,6,4,6,3,4,5,4,5,4,5,3,4,5,3,5,5,5,5,4,5,6,4,3,4,4,3,4,4,3,4,2,3,2,1,1,1,1,19,black,3,8,8,8,2,1,9936
R_3lEb9Cju8Ei70iA,Default Response Set,Anonymous,,,68.36.153.5,0,2018-05-08 11:28,2018-05-08 11:34,1,1,6,5,6,6,5,6,6,5,5,5,5,6,5,6,5,6,5,5,5,6,4,4,3,4,4,5,4,4,4,3,4,3,3,3,4,4,4,3,5,6,6,5,4,5,6,5,4,5,6,6,6,5,3,6,7,7,8,8,6,7,6,7,6,6,6,5,6,5,6,6,5,5,6,5,5,6,6,5,4,5,5,6,6,5,5,5,6,6,4,1,6,4,4,4,4,4,4,4,3,3,2,2,2,1,1,3,2,24,White,2,3,3,3,1,1,6511
R_1NtCEsJEJOCsWCe,Default Response Set,Anonymous,,,73.169.249.244,0,2018-05-08 11:27,2018-05-08 11:34,1,1,7,7,7,1,1,1,1,7,7,5,6,2,5,1,1,3,1,3,2,7,2,1,1,1,4,3,2,2,1,3,1,3,2,2,2,4,3,3,7,7,1,1,7,1,7,7,1,7,1,7,1,1,7,2,8,1,9,4,4,1,8,1,9,2,1,8,1,9,1,9,5,1,2,4,4,1,2,3,5,2,1,1,3,1,5,2,3,3,1,2,7,1,1,1,1,1,1,1,3,4,4,3,3,1,1,11,2,57,white,11,1,1,1,1,1,5837
R_2YYdEOlD7XLob3U,Default Response Set,Anonymous,,,73.93.124.216,0,2018-05-08 11:28,2018-05-08 11:35,1,1,7,7,7,1,1,1,1,3,7,7,4,2,1,1,1,5,2,3,1,7,2,2,2,2,4,3,3,1,2,3,2,1,3,4,2,3,3,3,7,7,1,1,7,1,7,7,1,7,1,7,1,1,7,2,4,1,9,5,7,1,7,4,5,6,4,6,4,9,2,5,4,3,5,4,4,4,4,5,4,3,3,4,3,4,7,4,4,4,4,2,7,1,1,1,1,1,1,1,3,4,4,4,4,1,1,11,2,23,white,2,1,1,1,4,1,7196
R_1r3Ab3C3BXVy8s3,Default Response Set,Anonymous,,,67.184.95.227,0,2018-05-08 11:26,2018-05-08 11:35,1,1,2,2,2,6,5,5,5,2,3,5,4,4,3,5,4,7,5,1,5,3,3,3,3,3,4,3,3,2,2,4,3,4,3,3,4,4,3,3,2,2,5,2,3,4,2,3,1,4,2,2,2,2,4,7,3,5,3,6,6,7,2,8,2,4,6,2,7,4,8,4,5,3,7,7,7,4,7,3,5,6,5,2,3,5,6,5,5,4,6,9,3,5,5,4,5,4,4,5,3,2,1,3,1,1,1,1,2,48,Caucasian,9,6,7,6,3,1,7297
R_2QGrDFSG8ckXHUz,Default Response Set,Anonymous,,,72.14.111.11,0,2018-05-08 11:26,2018-05-08 11:35,1,1,6,6,7,1,1,1,1,5,7,3,5,3,5,1,1,2,1,5,1,7,1,1,1,1,3,2,2,2,1,3,1,4,2,2,1,3,2,3,7,7,1,1,7,1,7,7,1,7,1,7,1,1,7,1,8,1,9,2,9,1,8,1,8,2,1,9,1,9,1,9,1,1,4,3,6,1,6,1,6,2,1,1,7,2,6,2,1,6,1,2,7,1,1,1,1,1,1,1,3,4,4,4,4,1,1,5,1,36,white,1,2,1,2,1,1,3269
R_2fcyCdOWk7VUJdy,Default Response Set,Anonymous,,,172.245.185.101,0,2018-05-08 11:27,2018-05-08 11:35,1,1,6,6,7,5,7,7,5,5,6,5,7,6,5,6,5,5,6,6,7,7,4,5,4,5,4,5,4,3,4,5,4,5,4,4,3,4,5,4,6,7,6,5,7,6,5,7,5,6,7,6,5,6,5,7,8,7,8,7,7,8,9,7,8,7,8,7,7,8,7,8,5,6,7,6,5,6,7,6,5,6,7,6,7,5,6,7,6,5,6,8,6,4,5,4,5,5,4,5,1,3,4,3,3,1,1,9,1,30,hispanic,6,3,3,1,3,1,8054
R_2aqpovHHzHQIQAo,Default Response Set,Anonymous,,,173.216.96.224,0,2018-05-08 11:29,2018-05-08 11:35,1,1,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,4,4,4,4,4,4,4,4,3,3,3,3,3,1,1,1,1,59,white,2,7,7,7,3,1,4149
R_R8lEZ1TvEtb8y2d,Default Response Set,Anonymous,,,146.6.61.13,0,2018-05-08 11:27,2018-05-08 11:35,1,1,7,7,7,1,1,1,1,7,7,3,6,1,6,1,2,6,3,6,1,7,2,2,2,2,3,4,4,2,3,3,2,3,2,3,2,3,3,3,7,7,1,1,7,1,7,7,1,7,1,7,1,1,7,3,8,2,9,4,8,2,9,1,9,2,2,9,1,9,1,7,5,3,6,6,7,2,2,5,4,2,2,6,6,6,4,4,2,6,6,1,7,1,3,1,1,3,1,1,3,4,4,4,4,1,1,11,2,52,caucasian,5,2,2,2,2,1,3530
